"Category","Year","Subject","PaperType","Filename","FilePath","DownloadURL","PageURL","Status","FileSize","Extension"
"APQ","2021-22","English LL","Practice Questions","cbse-apq-2021-22-English-LL-Set1-PQ.pdf","C:\Users\HP\.openclaw-autoclaw\workspace\cbse-downloads\APQ\2021-22\English-LL\cbse-apq-2021-22-English-LL-Set1-PQ.pdf","https://cbseacademic.nic.in/web_material/SQP/ClassX_2021_22/English-LL-PQ.pdf","https://cbseacademic.nic.in/additionalPQ.html","Downloaded","425569",".pdf"
"APQ","2021-22","Hindi A","Practice Questions","cbse-apq-2021-22-Hindi-A-Set1-PQ.pdf","C:\Users\HP\.openclaw-autoclaw\workspace\cbse-downloads\APQ\2021-22\Hindi-A\cbse-apq-2021-22-Hindi-A-Set1-PQ.pdf","https://cbseacademic.nic.in/web_material/SQP/ClassX_2021_22/Hindi-A-PQ.pdf","https://cbseacademic.nic.in/additionalPQ.html","Downloaded","332570",".pdf"
"APQ","2021-22","Mathematics Standard","Practice Questions","cbse-apq-2021-22-Mathematics-Standard-Set1-PQ.pdf","C:\Users\HP\.openclaw-autoclaw\workspace\cbse-downloads\APQ\2021-22\Mathematics-Standard\cbse-apq-2021-22-Mathematics-Standard-Set1-PQ.pdf","https://cbseacademic.nic.in/web_material/SQP/ClassX_2021_22/Mathematics-Standard-PQ.pdf","https://cbseacademic.nic.in/additionalPQ.html","Downloaded","929656",".pdf"
"APQ","2021-22","Science","Practice Questions","cbse-apq-2021-22-Science-Set1-PQ.pdf","C:\Users\HP\.openclaw-autoclaw\workspace\cbse-downloads\APQ\2021-22\Science\cbse-apq-2021-22-Science-Set1-PQ.pdf","https://cbseacademic.nic.in/web_material/SQP/ClassX_2021_22/Science-PQ.pdf","https://cbseacademic.nic.in/additionalPQ.html","Downloaded","905465",".pdf"
"APQ","2021-22","Social Science","Practice Questions","cbse-apq-2021-22-Social-Science-Set1-PQ.pdf","C:\Users\HP\.openclaw-autoclaw\workspace\cbse-downloads\APQ\2021-22\Social-Science\cbse-apq-2021-22-Social-Science-Set1-PQ.pdf","https://cbseacademic.nic.in/web_material/SQP/ClassX_2021_22/Social-Science-PQ.pdf","https://cbseacademic.nic.in/additionalPQ.html","Downloaded","928296",".pdf"
"APQ","2022-23","English","Marking Scheme","cbse-apq-2022-23-English-Set1-MS.pdf","C:\Users\HP\.openclaw-autoclaw\workspace\cbse-downloads\APQ\2022-23\English\cbse-apq-2022-23-English-Set1-MS.pdf","https://cbseacademic.nic.in/web_material/SQP/ClassX_2022_23/English-MS.pdf","https://cbseacademic.nic.in/additionalPQ.html","Downloaded","327754",".pdf"
"APQ","2022-23","English","Practice Questions","cbse-apq-2022-23-English-Set1-PQ.pdf","C:\Users\HP\.openclaw-autoclaw\workspace\cbse-downloads\APQ\2022-23\English\cbse-apq-2022-23-English-Set1-PQ.pdf","https://cbseacademic.nic.in/web_material/SQP/ClassX_2022_23/English-PQ.pdf","https://cbseacademic.nic.in/additionalPQ.html","Downloaded","278255",".pdf"
"APQ","2022-23","Mathematics","Marking Scheme","cbse-apq-2022-23-Mathematics-Set1-MS.pdf","C:\Users\HP\.openclaw-autoclaw\workspace\cbse-downloads\APQ\2022-23\Mathematics\cbse-apq-2022-23-Mathematics-Set1-MS.pdf","https://cbseacademic.nic.in/web_material/SQP/ClassX_2022_23/Mathematics-MS.pdf","https://cbseacademic.nic.in/additionalPQ.html","Downloaded","552807",".pdf"
"APQ","2022-23","Mathematics","Practice Questions","cbse-apq-2022-23-Mathematics-Set1-PQ.pdf","C:\Users\HP\.openclaw-autoclaw\workspace\cbse-downloads\APQ\2022-23\Mathematics\cbse-apq-2022-23-Mathematics-Set1-PQ.pdf","https://cbseacademic.nic.in/web_material/SQP/ClassX_2022_23/Mathematics-PQ.pdf","https://cbseacademic.nic.in/additionalPQ.html","Downloaded","996609",".pdf"
"APQ","2022-23","Science","Marking Scheme","cbse-apq-2022-23-Science-Set1-MS.pdf","C:\Users\HP\.openclaw-autoclaw\workspace\cbse-downloads\APQ\2022-23\Science\cbse-apq-2022-23-Science-Set1-MS.pdf","https://cbseacademic.nic.in/web_material/SQP/ClassX_2022_23/Science-MS.pdf","https://cbseacademic.nic.in/additionalPQ.html","Downloaded","218562",".pdf"
